"Notes","County of Residence","County of Residence Code","Year","Year Code","Tobacco Use","Tobacco Use Code",Births
"Total","St. Louis city, MO","29510","2017","2017",,,3055
,"St. Louis city, MO","29510","2018","2018","Yes","1",295
,"St. Louis city, MO","29510","2018","2018","No","2",2748
"Total","St. Louis city, MO","29510","2018","2018",,,3043
,"St. Louis city, MO","29510","2019","2019","Yes","1",292
,"St. Louis city, MO","29510","2019","2019","No","2",2972
"Total","St. Louis city, MO","29510","2019","2019",,,3264
,"St. Louis city, MO","29510","2020","2020","Yes","1",276
,"St. Louis city, MO","29510","2020","2020","No","2",2702
"Total","St. Louis city, MO","29510","2020","2020",,,2978
,"St. Louis city, MO","29510","2021","2021","Yes","1",229
,"St. Louis city, MO","29510","2021","2021","No","2",2804
"Total","St. Louis city, MO","29510","2021","2021",,,3033
,"St. Louis city, MO","29510","2022","2022","Yes","1",203
,"St. Louis city, MO","29510","2022","2022","No","2",2701
"Total","St. Louis city, MO","29510","2022","2022",,,2904
,"St. Louis city, MO","29510","2023","2023","Yes","1",153
,"St. Louis city, MO","29510","2023","2023","No","2",2739
"Total","St. Louis city, MO","29510","2023","2023",,,2892
,"St. Louis city, MO","29510","2024","2024","Yes","1",122
,"St. Louis city, MO","29510","2024","2024","No","2",2673
"Total","St. Louis city, MO","29510","2024","2024",,,2795
"Total","St. Louis city, MO","29510",,,,,27442
,"Unidentified Counties, MO","29999","2016","2016","Yes","1",5651
,"Unidentified Counties, MO","29999","2016","2016","No","2",21502
"Total","Unidentified Counties, MO","29999","2016","2016",,,27153
,"Unidentified Counties, MO","29999","2017","2017","Yes","1",5357
,"Unidentified Counties, MO","29999","2017","2017","No","2",21593
"Total","Unidentified Counties, MO","29999","2017","2017",,,26950
,"Unidentified Counties, MO","29999","2018","2018","Yes","1",5205
,"Unidentified Counties, MO","29999","2018","2018","No","2",22617
"Total","Unidentified Counties, MO","29999","2018","2018",,,27822
,"Unidentified Counties, MO","29999","2019","2019","Yes","1",4693
,"Unidentified Counties, MO","29999","2019","2019","No","2",22239
"Total","Unidentified Counties, MO","29999","2019","2019",,,26932
