"Notes","County of Residence","County of Residence Code","Year","Year Code","Gestational Hypertension","Gestational Hypertension Code",Births
"Total","St. Charles County, MO","29183","2021","2021",,,3558
,"St. Charles County, MO","29183","2022","2022","Yes","1",496
,"St. Charles County, MO","29183","2022","2022","No","2",3191
"Total","St. Charles County, MO","29183","2022","2022",,,3687
,"St. Charles County, MO","29183","2023","2023","Yes","1",442
,"St. Charles County, MO","29183","2023","2023","No","2",3141
"Total","St. Charles County, MO","29183","2023","2023",,,3583
,"St. Charles County, MO","29183","2024","2024","Yes","1",481
,"St. Charles County, MO","29183","2024","2024","No","2",3249
"Total","St. Charles County, MO","29183","2024","2024",,,3730
"Total","St. Charles County, MO","29183",,,,,33974
,"St. Louis County, MO","29189","2016","2016","Yes","1",791
,"St. Louis County, MO","29189","2016","2016","No","2",8879
"Total","St. Louis County, MO","29189","2016","2016",,,9670
,"St. Louis County, MO","29189","2017","2017","Yes","1",747
,"St. Louis County, MO","29189","2017","2017","No","2",8227
"Total","St. Louis County, MO","29189","2017","2017",,,8974
,"St. Louis County, MO","29189","2018","2018","Yes","1",812
,"St. Louis County, MO","29189","2018","2018","No","2",8409
"Total","St. Louis County, MO","29189","2018","2018",,,9221
,"St. Louis County, MO","29189","2019","2019","Yes","1",945
,"St. Louis County, MO","29189","2019","2019","No","2",8721
"Total","St. Louis County, MO","29189","2019","2019",,,9666
,"St. Louis County, MO","29189","2020","2020","Yes","1",852
,"St. Louis County, MO","29189","2020","2020","No","2",7927
"Total","St. Louis County, MO","29189","2020","2020",,,8779
,"St. Louis County, MO","29189","2021","2021","Yes","1",905
,"St. Louis County, MO","29189","2021","2021","No","2",7423
"Total","St. Louis County, MO","29189","2021","2021",,,8328
,"St. Louis County, MO","29189","2022","2022","Yes","1",1069
,"St. Louis County, MO","29189","2022","2022","No","2",7707
"Total","St. Louis County, MO","29189","2022","2022",,,8776
,"St. Louis County, MO","29189","2023","2023","Yes","1",1114
,"St. Louis County, MO","29189","2023","2023","No","2",7395
"Total","St. Louis County, MO","29189","2023","2023",,,8509
,"St. Louis County, MO","29189","2024","2024","Yes","1",1180
,"St. Louis County, MO","29189","2024","2024","No","2",7675
"Total","St. Louis County, MO","29189","2024","2024",,,8855
"Total","St. Louis County, MO","29189",,,,,80778
,"St. Louis city, MO","29510","2016","2016","Yes","1",476
,"St. Louis city, MO","29510","2016","2016","No","2",3002
"Total","St. Louis city, MO","29510","2016","2016",,,3478
,"St. Louis city, MO","29510","2017","2017","Yes","1",382
,"St. Louis city, MO","29510","2017","2017","No","2",2673
"Total","St. Louis city, MO","29510","2017","2017",,,3055
,"St. Louis city, MO","29510","2018","2018","Yes","1",291
,"St. Louis city, MO","29510","2018","2018","No","2",2752
"Total","St. Louis city, MO","29510","2018","2018",,,3043
,"St. Louis city, MO","29510","2019","2019","Yes","1",319
,"St. Louis city, MO","29510","2019","2019","No","2",2945
"Total","St. Louis city, MO","29510","2019","2019",,,3264
,"St. Louis city, MO","29510","2020","2020","Yes","1",337
,"St. Louis city, MO","29510","2020","2020","No","2",2641
"Total","St. Louis city, MO","29510","2020","2020",,,2978
,"St. Louis city, MO","29510","2021","2021","Yes","1",396
,"St. Louis city, MO","29510","2021","2021","No","2",2637
"Total","St. Louis city, MO","29510","2021","2021",,,3033
,"St. Louis city, MO","29510","2022","2022","Yes","1",420
,"St. Louis city, MO","29510","2022","2022","No","2",2484
"Total","St. Louis city, MO","29510","2022","2022",,,2904
,"St. Louis city, MO","29510","2023","2023","Yes","1",463
,"St. Louis city, MO","29510","2023","2023","No","2",2429
"Total","St. Louis city, MO","29510","2023","2023",,,2892
,"St. Louis city, MO","29510","2024","2024","Yes","1",398
,"St. Louis city, MO","29510","2024","2024","No","2",2397
"Total","St. Louis city, MO","29510","2024","2024",,,2795
"Total","St. Louis city, MO","29510",,,,,27442
,"Unidentified Counties, MO","29999","2016","2016","Yes","1",1791
,"Unidentified Counties, MO","29999","2016","2016","No","2",25362
"Total","Unidentified Counties, MO","29999","2016","2016",,,27153
