"Notes","County of Residence","County of Residence Code","Year","Year Code","Pre-pregnancy Hypertension","Pre-pregnancy Hypertension Code",Births
"Total","St. Charles County, MO","29183","2023","2023",,,3583
,"St. Charles County, MO","29183","2024","2024","Yes","1",110
,"St. Charles County, MO","29183","2024","2024","No","2",3620
"Total","St. Charles County, MO","29183","2024","2024",,,3730
"Total","St. Charles County, MO","29183",,,,,33974
,"St. Louis County, MO","29189","2016","2016","Yes","1",239
,"St. Louis County, MO","29189","2016","2016","No","2",9431
"Total","St. Louis County, MO","29189","2016","2016",,,9670
,"St. Louis County, MO","29189","2017","2017","Yes","1",263
,"St. Louis County, MO","29189","2017","2017","No","2",8711
"Total","St. Louis County, MO","29189","2017","2017",,,8974
,"St. Louis County, MO","29189","2018","2018","Yes","1",255
,"St. Louis County, MO","29189","2018","2018","No","2",8966
"Total","St. Louis County, MO","29189","2018","2018",,,9221
,"St. Louis County, MO","29189","2019","2019","Yes","1",310
,"St. Louis County, MO","29189","2019","2019","No","2",9356
"Total","St. Louis County, MO","29189","2019","2019",,,9666
,"St. Louis County, MO","29189","2020","2020","Yes","1",325
,"St. Louis County, MO","29189","2020","2020","No","2",8454
"Total","St. Louis County, MO","29189","2020","2020",,,8779
,"St. Louis County, MO","29189","2021","2021","Yes","1",322
,"St. Louis County, MO","29189","2021","2021","No","2",8006
"Total","St. Louis County, MO","29189","2021","2021",,,8328
,"St. Louis County, MO","29189","2022","2022","Yes","1",310
,"St. Louis County, MO","29189","2022","2022","No","2",8466
"Total","St. Louis County, MO","29189","2022","2022",,,8776
,"St. Louis County, MO","29189","2023","2023","Yes","1",402
,"St. Louis County, MO","29189","2023","2023","No","2",8107
"Total","St. Louis County, MO","29189","2023","2023",,,8509
,"St. Louis County, MO","29189","2024","2024","Yes","1",387
,"St. Louis County, MO","29189","2024","2024","No","2",8468
"Total","St. Louis County, MO","29189","2024","2024",,,8855
"Total","St. Louis County, MO","29189",,,,,80778
,"St. Louis city, MO","29510","2016","2016","Yes","1",85
,"St. Louis city, MO","29510","2016","2016","No","2",3393
"Total","St. Louis city, MO","29510","2016","2016",,,3478
,"St. Louis city, MO","29510","2017","2017","Yes","1",105
,"St. Louis city, MO","29510","2017","2017","No","2",2950
"Total","St. Louis city, MO","29510","2017","2017",,,3055
,"St. Louis city, MO","29510","2018","2018","Yes","1",118
