"Notes","County of Residence","County of Residence Code","Year","Year Code","OE Gestational Age Recode 11","OE Gestational Age Recode 11 Code",Births
,"Greene County, MO","29077","2018","2018","42 weeks or more","10",10
,"Greene County, MO","29077","2019","2019","20-27 weeks","02",26
,"Greene County, MO","29077","2019","2019","28-31 weeks","03",45
,"Greene County, MO","29077","2019","2019","32-33 weeks","04",28
,"Greene County, MO","29077","2019","2019","34-36 weeks","05",229
,"Greene County, MO","29077","2019","2019","37-38 weeks","06",808
,"Greene County, MO","29077","2019","2019","39 weeks","07",1197
,"Greene County, MO","29077","2019","2019","40 weeks","08",622
,"Greene County, MO","29077","2019","2019","41 weeks","09",158
,"Greene County, MO","29077","2020","2020","20-27 weeks","02",14
,"Greene County, MO","29077","2020","2020","28-31 weeks","03",23
,"Greene County, MO","29077","2020","2020","32-33 weeks","04",33
,"Greene County, MO","29077","2020","2020","34-36 weeks","05",206
,"Greene County, MO","29077","2020","2020","37-38 weeks","06",794
,"Greene County, MO","29077","2020","2020","39 weeks","07",1242
,"Greene County, MO","29077","2020","2020","40 weeks","08",583
,"Greene County, MO","29077","2020","2020","41 weeks","09",110
,"Greene County, MO","29077","2021","2021","20-27 weeks","02",17
,"Greene County, MO","29077","2021","2021","28-31 weeks","03",25
,"Greene County, MO","29077","2021","2021","32-33 weeks","04",30
,"Greene County, MO","29077","2021","2021","34-36 weeks","05",242
,"Greene County, MO","29077","2021","2021","37-38 weeks","06",791
,"Greene County, MO","29077","2021","2021","39 weeks","07",1229
,"Greene County, MO","29077","2021","2021","40 weeks","08",585
,"Greene County, MO","29077","2021","2021","41 weeks","09",135
,"Greene County, MO","29077","2022","2022","20-27 weeks","02",20
,"Greene County, MO","29077","2022","2022","28-31 weeks","03",21
,"Greene County, MO","29077","2022","2022","32-33 weeks","04",45
,"Greene County, MO","29077","2022","2022","34-36 weeks","05",239
,"Greene County, MO","29077","2022","2022","37-38 weeks","06",851
,"Greene County, MO","29077","2022","2022","39 weeks","07",1105
,"Greene County, MO","29077","2022","2022","40 weeks","08",521
,"Greene County, MO","29077","2022","2022","41 weeks","09",127
,"Greene County, MO","29077","2023","2023","20-27 weeks","02",13
,"Greene County, MO","29077","2023","2023","28-31 weeks","03",20
,"Greene County, MO","29077","2023","2023","32-33 weeks","04",40
,"Greene County, MO","29077","2023","2023","34-36 weeks","05",226
,"Greene County, MO","29077","2023","2023","37-38 weeks","06",876
,"Greene County, MO","29077","2023","2023","39 weeks","07",1148
,"Greene County, MO","29077","2023","2023","40 weeks","08",533
,"Greene County, MO","29077","2023","2023","41 weeks","09",137
,"Greene County, MO","29077","2024","2024","20-27 weeks","02",19
,"Greene County, MO","29077","2024","2024","28-31 weeks","03",31
,"Greene County, MO","29077","2024","2024","32-33 weeks","04",32
,"Greene County, MO","29077","2024","2024","34-36 weeks","05",228
,"Greene County, MO","29077","2024","2024","37-38 weeks","06",957
,"Greene County, MO","29077","2024","2024","39 weeks","07",1196
,"Greene County, MO","29077","2024","2024","40 weeks","08",590
,"Greene County, MO","29077","2024","2024","41 weeks","09",143
,"Jackson County, MO","29095","2016","2016","20-27 weeks","02",48
,"Jackson County, MO","29095","2016","2016","28-31 weeks","03",68
,"Jackson County, MO","29095","2016","2016","32-33 weeks","04",99
,"Jackson County, MO","29095","2016","2016","34-36 weeks","05",581
,"Jackson County, MO","29095","2016","2016","37-38 weeks","06",1892
,"Jackson County, MO","29095","2016","2016","39 weeks","07",2939
,"Jackson County, MO","29095","2016","2016","40 weeks","08",1878
,"Jackson County, MO","29095","2016","2016","41 weeks","09",505
,"Jackson County, MO","29095","2016","2016","42 weeks or more","10",54
,"Jackson County, MO","29095","2017","2017","20-27 weeks","02",52
,"Jackson County, MO","29095","2017","2017","28-31 weeks","03",83
,"Jackson County, MO","29095","2017","2017","32-33 weeks","04",104
,"Jackson County, MO","29095","2017","2017","34-36 weeks","05",601
,"Jackson County, MO","29095","2017","2017","37-38 weeks","06",2056
,"Jackson County, MO","29095","2017","2017","39 weeks","07",2782
,"Jackson County, MO","29095","2017","2017","40 weeks","08",1878
,"Jackson County, MO","29095","2017","2017","41 weeks","09",531
,"Jackson County, MO","29095","2017","2017","42 weeks or more","10",48
,"Jackson County, MO","29095","2018","2018","20-27 weeks","02",34
,"Jackson County, MO","29095","2018","2018","28-31 weeks","03",64
,"Jackson County, MO","29095","2018","2018","32-33 weeks","04",125
,"Jackson County, MO","29095","2018","2018","34-36 weeks","05",647
,"Jackson County, MO","29095","2018","2018","37-38 weeks","06",2173
,"Jackson County, MO","29095","2018","2018","39 weeks","07",3068
,"Jackson County, MO","29095","2018","2018","40 weeks","08",1600
,"Jackson County, MO","29095","2018","2018","41 weeks","09",401
,"Jackson County, MO","29095","2018","2018","42 weeks or more","10",40
,"Jackson County, MO","29095","2019","2019","20-27 weeks","02",49
,"Jackson County, MO","29095","2019","2019","28-31 weeks","03",71
,"Jackson County, MO","29095","2019","2019","32-33 weeks","04",106
,"Jackson County, MO","29095","2019","2019","34-36 weeks","05",638
,"Jackson County, MO","29095","2019","2019","37-38 weeks","06",2246
,"Jackson County, MO","29095","2019","2019","39 weeks","07",3030
,"Jackson County, MO","29095","2019","2019","40 weeks","08",1532
,"Jackson County, MO","29095","2019","2019","41 weeks","09",375
,"Jackson County, MO","29095","2019","2019","42 weeks or more","10",38
,"Jackson County, MO","29095","2020","2020","20-27 weeks","02",49
,"Jackson County, MO","29095","2020","2020","28-31 weeks","03",79
,"Jackson County, MO","29095","2020","2020","32-33 weeks","04",93
,"Jackson County, MO","29095","2020","2020","34-36 weeks","05",616
,"Jackson County, MO","29095","2020","2020","37-38 weeks","06",2212
,"Jackson County, MO","29095","2020","2020","39 weeks","07",3017
,"Jackson County, MO","29095","2020","2020","40 weeks","08",1431
,"Jackson County, MO","29095","2020","2020","41 weeks","09",336
,"Jackson County, MO","29095","2020","2020","42 weeks or more","10",45
,"Jackson County, MO","29095","2021","2021","20-27 weeks","02",40
,"Jackson County, MO","29095","2021","2021","28-31 weeks","03",63
,"Jackson County, MO","29095","2021","2021","32-33 weeks","04",129
,"Jackson County, MO","29095","2021","2021","34-36 weeks","05",611
,"Jackson County, MO","29095","2021","2021","37-38 weeks","06",2131
,"Jackson County, MO","29095","2021","2021","39 weeks","07",2825
,"Jackson County, MO","29095","2021","2021","40 weeks","08",1317
,"Jackson County, MO","29095","2021","2021","41 weeks","09",286
,"Jackson County, MO","29095","2021","2021","42 weeks or more","10",41
,"Jackson County, MO","29095","2022","2022","20-27 weeks","02",69
,"Jackson County, MO","29095","2022","2022","28-31 weeks","03",100
,"Jackson County, MO","29095","2022","2022","32-33 weeks","04",90
,"Jackson County, MO","29095","2022","2022","34-36 weeks","05",637
,"Jackson County, MO","29095","2022","2022","37-38 weeks","06",2428
,"Jackson County, MO","29095","2022","2022","39 weeks","07",2825
,"Jackson County, MO","29095","2022","2022","40 weeks","08",1459
,"Jackson County, MO","29095","2022","2022","41 weeks","09",286
,"Jackson County, MO","29095","2022","2022","42 weeks or more","10",40
,"Jackson County, MO","29095","2023","2023","20-27 weeks","02",41
,"Jackson County, MO","29095","2023","2023","28-31 weeks","03",63
,"Jackson County, MO","29095","2023","2023","32-33 weeks","04",93
,"Jackson County, MO","29095","2023","2023","34-36 weeks","05",646
,"Jackson County, MO","29095","2023","2023","37-38 weeks","06",2399
,"Jackson County, MO","29095","2023","2023","39 weeks","07",3000
,"Jackson County, MO","29095","2023","2023","40 weeks","08",1407
,"Jackson County, MO","29095","2023","2023","41 weeks","09",328
,"Jackson County, MO","29095","2023","2023","42 weeks or more","10",46
,"Jackson County, MO","29095","2024","2024","20-27 weeks","02",47
,"Jackson County, MO","29095","2024","2024","28-31 weeks","03",68
,"Jackson County, MO","29095","2024","2024","32-33 weeks","04",95
,"Jackson County, MO","29095","2024","2024","34-36 weeks","05",665
,"Jackson County, MO","29095","2024","2024","37-38 weeks","06",2528
,"Jackson County, MO","29095","2024","2024","39 weeks","07",2987
,"Jackson County, MO","29095","2024","2024","40 weeks","08",1457
,"Jackson County, MO","29095","2024","2024","41 weeks","09",313
,"Jackson County, MO","29095","2024","2024","42 weeks or more","10",33
,"Jasper County, MO","29097","2016","2016","32-33 weeks","04",22
,"Jasper County, MO","29097","2016","2016","34-36 weeks","05",97
,"Jasper County, MO","29097","2016","2016","37-38 weeks","06",382
,"Jasper County, MO","29097","2016","2016","39 weeks","07",672
,"Jasper County, MO","29097","2016","2016","40 weeks","08",340
,"Jasper County, MO","29097","2016","2016","41 weeks","09",64
,"Jasper County, MO","29097","2017","2017","20-27 weeks","02",10
,"Jasper County, MO","29097","2017","2017","28-31 weeks","03",14
,"Jasper County, MO","29097","2017","2017","32-33 weeks","04",12
,"Jasper County, MO","29097","2017","2017","34-36 weeks","05",97
,"Jasper County, MO","29097","2017","2017","37-38 weeks","06",421
,"Jasper County, MO","29097","2017","2017","39 weeks","07",632
,"Jasper County, MO","29097","2017","2017","40 weeks","08",282
,"Jasper County, MO","29097","2017","2017","41 weeks","09",66
,"Jasper County, MO","29097","2018","2018","20-27 weeks","02",10
,"Jasper County, MO","29097","2018","2018","28-31 weeks","03",17
,"Jasper County, MO","29097","2018","2018","34-36 weeks","05",128
,"Jasper County, MO","29097","2018","2018","37-38 weeks","06",385
,"Jasper County, MO","29097","2018","2018","39 weeks","07",663
,"Jasper County, MO","29097","2018","2018","40 weeks","08",235
,"Jasper County, MO","29097","2018","2018","41 weeks","09",46
,"Jasper County, MO","29097","2019","2019","32-33 weeks","04",21
,"Jasper County, MO","29097","2019","2019","34-36 weeks","05",109
,"Jasper County, MO","29097","2019","2019","37-38 weeks","06",374
,"Jasper County, MO","29097","2019","2019","39 weeks","07",656
,"Jasper County, MO","29097","2019","2019","40 weeks","08",253
,"Jasper County, MO","29097","2019","2019","41 weeks","09",46
,"Jasper County, MO","29097","2020","2020","28-31 weeks","03",10
,"Jasper County, MO","29097","2020","2020","32-33 weeks","04",18
,"Jasper County, MO","29097","2020","2020","34-36 weeks","05",106
,"Jasper County, MO","29097","2020","2020","37-38 weeks","06",409
,"Jasper County, MO","29097","2020","2020","39 weeks","07",664
,"Jasper County, MO","29097","2020","2020","40 weeks","08",194
,"Jasper County, MO","29097","2020","2020","41 weeks","09",22
,"Jasper County, MO","29097","2021","2021","20-27 weeks","02",13
,"Jasper County, MO","29097","2021","2021","28-31 weeks","03",14
,"Jasper County, MO","29097","2021","2021","32-33 weeks","04",27
,"Jasper County, MO","29097","2021","2021","34-36 weeks","05",126
,"Jasper County, MO","29097","2021","2021","37-38 weeks","06",465
,"Jasper County, MO","29097","2021","2021","39 weeks","07",637
,"Jasper County, MO","29097","2021","2021","40 weeks","08",176
,"Jasper County, MO","29097","2021","2021","41 weeks","09",20
,"Jasper County, MO","29097","2022","2022","20-27 weeks","02",12
,"Jasper County, MO","29097","2022","2022","28-31 weeks","03",11
,"Jasper County, MO","29097","2022","2022","32-33 weeks","04",18
,"Jasper County, MO","29097","2022","2022","34-36 weeks","05",143
,"Jasper County, MO","29097","2022","2022","37-38 weeks","06",450
,"Jasper County, MO","29097","2022","2022","39 weeks","07",635
,"Jasper County, MO","29097","2022","2022","40 weeks","08",208
,"Jasper County, MO","29097","2022","2022","41 weeks","09",31
,"Jasper County, MO","29097","2023","2023","28-31 weeks","03",13
,"Jasper County, MO","29097","2023","2023","32-33 weeks","04",18
,"Jasper County, MO","29097","2023","2023","34-36 weeks","05",125
,"Jasper County, MO","29097","2023","2023","37-38 weeks","06",446
,"Jasper County, MO","29097","2023","2023","39 weeks","07",575
,"Jasper County, MO","29097","2023","2023","40 weeks","08",168
,"Jasper County, MO","29097","2023","2023","41 weeks","09",30
,"Jasper County, MO","29097","2024","2024","32-33 weeks","04",19
,"Jasper County, MO","29097","2024","2024","34-36 weeks","05",123
,"Jasper County, MO","29097","2024","2024","37-38 weeks","06",486
,"Jasper County, MO","29097","2024","2024","39 weeks","07",548
,"Jasper County, MO","29097","2024","2024","40 weeks","08",190
,"Jasper County, MO","29097","2024","2024","41 weeks","09",24
,"Jefferson County, MO","29099","2016","2016","28-31 weeks","03",22
,"Jefferson County, MO","29099","2016","2016","32-33 weeks","04",21
,"Jefferson County, MO","29099","2016","2016","34-36 weeks","05",148
,"Jefferson County, MO","29099","2016","2016","37-38 weeks","06",565
,"Jefferson County, MO","29099","2016","2016","39 weeks","07",1007
,"Jefferson County, MO","29099","2016","2016","40 weeks","08",414
,"Jefferson County, MO","29099","2016","2016","41 weeks","09",99
,"Jefferson County, MO","29099","2017","2017","28-31 weeks","03",12
,"Jefferson County, MO","29099","2017","2017","32-33 weeks","04",21
,"Jefferson County, MO","29099","2017","2017","34-36 weeks","05",151
,"Jefferson County, MO","29099","2017","2017","37-38 weeks","06",539
,"Jefferson County, MO","29099","2017","2017","39 weeks","07",897
,"Jefferson County, MO","29099","2017","2017","40 weeks","08",348
,"Jefferson County, MO","29099","2017","2017","41 weeks","09",84
,"Jefferson County, MO","29099","2018","2018","20-27 weeks","02",19
,"Jefferson County, MO","29099","2018","2018","28-31 weeks","03",18
,"Jefferson County, MO","29099","2018","2018","32-33 weeks","04",28
,"Jefferson County, MO","29099","2018","2018","34-36 weeks","05",194
,"Jefferson County, MO","29099","2018","2018","37-38 weeks","06",531
,"Jefferson County, MO","29099","2018","2018","39 weeks","07",879
,"Jefferson County, MO","29099","2018","2018","40 weeks","08",367
,"Jefferson County, MO","29099","2018","2018","41 weeks","09",84
,"Jefferson County, MO","29099","2019","2019","20-27 weeks","02",11
