"Notes","County of Residence","County of Residence Code","Year","Year Code","Source of Payment for Delivery","Source of Payment for Delivery Code",Births
,"St. Louis city, MO","29510","2016","2016","Self Pay","3",48
,"St. Louis city, MO","29510","2017","2017","Medicaid","1",1659
,"St. Louis city, MO","29510","2017","2017","Private Insurance","2",1359
,"St. Louis city, MO","29510","2017","2017","Self Pay","3",37
,"St. Louis city, MO","29510","2018","2018","Medicaid","1",1533
,"St. Louis city, MO","29510","2018","2018","Private Insurance","2",1463
,"St. Louis city, MO","29510","2018","2018","Self Pay","3",47
,"St. Louis city, MO","29510","2019","2019","Medicaid","1",1691
,"St. Louis city, MO","29510","2019","2019","Private Insurance","2",1489
,"St. Louis city, MO","29510","2019","2019","Self Pay","3",84
,"St. Louis city, MO","29510","2020","2020","Medicaid","1",1405
,"St. Louis city, MO","29510","2020","2020","Private Insurance","2",1481
,"St. Louis city, MO","29510","2020","2020","Self Pay","3",92
,"St. Louis city, MO","29510","2021","2021","Medicaid","1",1520
,"St. Louis city, MO","29510","2021","2021","Private Insurance","2",1437
,"St. Louis city, MO","29510","2021","2021","Self Pay","3",76
,"St. Louis city, MO","29510","2022","2022","Medicaid","1",1502
,"St. Louis city, MO","29510","2022","2022","Private Insurance","2",1357
,"St. Louis city, MO","29510","2022","2022","Self Pay","3",45
,"St. Louis city, MO","29510","2023","2023","Medicaid","1",1463
,"St. Louis city, MO","29510","2023","2023","Private Insurance","2",1390
,"St. Louis city, MO","29510","2023","2023","Self Pay","3",39
,"St. Louis city, MO","29510","2024","2024","Medicaid","1",1340
,"St. Louis city, MO","29510","2024","2024","Private Insurance","2",1410
,"St. Louis city, MO","29510","2024","2024","Self Pay","3",45
,"Unidentified Counties, MO","29999","2016","2016","Medicaid","1",12111
,"Unidentified Counties, MO","29999","2016","2016","Private Insurance","2",13607
,"Unidentified Counties, MO","29999","2016","2016","Self Pay","3",1435
,"Unidentified Counties, MO","29999","2017","2017","Medicaid","1",11663
,"Unidentified Counties, MO","29999","2017","2017","Private Insurance","2",13907
,"Unidentified Counties, MO","29999","2017","2017","Self Pay","3",1380
,"Unidentified Counties, MO","29999","2018","2018","Medicaid","1",12201
,"Unidentified Counties, MO","29999","2018","2018","Private Insurance","2",14089
,"Unidentified Counties, MO","29999","2018","2018","Self Pay","3",1532
,"Unidentified Counties, MO","29999","2019","2019","Medicaid","1",11535
,"Unidentified Counties, MO","29999","2019","2019","Private Insurance","2",13908
,"Unidentified Counties, MO","29999","2019","2019","Self Pay","3",1489
,"Unidentified Counties, MO","29999","2020","2020","Medicaid","1",11404
