"Notes","County of Residence","County of Residence Code","Year","Year Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Greene County, MO","29077","2018","2018","1000 - 1499 grams","03",17
,"Greene County, MO","29077","2018","2018","1500 - 1999 grams","04",60
,"Greene County, MO","29077","2018","2018","2000 - 2499 grams","05",122
,"Greene County, MO","29077","2018","2018","2500 - 2999 grams","06",499
,"Greene County, MO","29077","2018","2018","3000 - 3499 grams","07",1112
,"Greene County, MO","29077","2018","2018","3500 - 3999 grams","08",973
,"Greene County, MO","29077","2018","2018","4000 - 4499 grams","09",264
,"Greene County, MO","29077","2018","2018","4500 - 4999 grams","10",41
,"Greene County, MO","29077","2019","2019","500 - 999 grams","02",22
,"Greene County, MO","29077","2019","2019","1000 - 1499 grams","03",30
,"Greene County, MO","29077","2019","2019","1500 - 1999 grams","04",53
,"Greene County, MO","29077","2019","2019","2000 - 2499 grams","05",171
,"Greene County, MO","29077","2019","2019","2500 - 2999 grams","06",478
,"Greene County, MO","29077","2019","2019","3000 - 3499 grams","07",1147
,"Greene County, MO","29077","2019","2019","3500 - 3999 grams","08",915
,"Greene County, MO","29077","2019","2019","4000 - 4499 grams","09",250
,"Greene County, MO","29077","2019","2019","4500 - 4999 grams","10",42
,"Greene County, MO","29077","2020","2020","500 - 999 grams","02",11
,"Greene County, MO","29077","2020","2020","1000 - 1499 grams","03",29
,"Greene County, MO","29077","2020","2020","1500 - 1999 grams","04",37
,"Greene County, MO","29077","2020","2020","2000 - 2499 grams","05",162
,"Greene County, MO","29077","2020","2020","2500 - 2999 grams","06",494
,"Greene County, MO","29077","2020","2020","3000 - 3499 grams","07",1140
,"Greene County, MO","29077","2020","2020","3500 - 3999 grams","08",850
,"Greene County, MO","29077","2020","2020","4000 - 4499 grams","09",253
,"Greene County, MO","29077","2020","2020","4500 - 4999 grams","10",28
,"Greene County, MO","29077","2021","2021","500 - 999 grams","02",12
,"Greene County, MO","29077","2021","2021","1000 - 1499 grams","03",23
,"Greene County, MO","29077","2021","2021","1500 - 1999 grams","04",40
,"Greene County, MO","29077","2021","2021","2000 - 2499 grams","05",139
,"Greene County, MO","29077","2021","2021","2500 - 2999 grams","06",514
,"Greene County, MO","29077","2021","2021","3000 - 3499 grams","07",1169
,"Greene County, MO","29077","2021","2021","3500 - 3999 grams","08",873
,"Greene County, MO","29077","2021","2021","4000 - 4499 grams","09",253
,"Greene County, MO","29077","2021","2021","4500 - 4999 grams","10",32
,"Greene County, MO","29077","2022","2022","500 - 999 grams","02",16
,"Greene County, MO","29077","2022","2022","1000 - 1499 grams","03",16
,"Greene County, MO","29077","2022","2022","1500 - 1999 grams","04",44
,"Greene County, MO","29077","2022","2022","2000 - 2499 grams","05",176
,"Greene County, MO","29077","2022","2022","2500 - 2999 grams","06",506
,"Greene County, MO","29077","2022","2022","3000 - 3499 grams","07",1083
,"Greene County, MO","29077","2022","2022","3500 - 3999 grams","08",847
,"Greene County, MO","29077","2022","2022","4000 - 4499 grams","09",218
,"Greene County, MO","29077","2022","2022","4500 - 4999 grams","10",25
,"Greene County, MO","29077","2023","2023","500 - 999 grams","02",11
,"Greene County, MO","29077","2023","2023","1000 - 1499 grams","03",16
,"Greene County, MO","29077","2023","2023","1500 - 1999 grams","04",55
,"Greene County, MO","29077","2023","2023","2000 - 2499 grams","05",166
,"Greene County, MO","29077","2023","2023","2500 - 2999 grams","06",502
,"Greene County, MO","29077","2023","2023","3000 - 3499 grams","07",1158
,"Greene County, MO","29077","2023","2023","3500 - 3999 grams","08",823
,"Greene County, MO","29077","2023","2023","4000 - 4499 grams","09",226
,"Greene County, MO","29077","2023","2023","4500 - 4999 grams","10",35
,"Greene County, MO","29077","2024","2024","500 - 999 grams","02",18
,"Greene County, MO","29077","2024","2024","1000 - 1499 grams","03",26
,"Greene County, MO","29077","2024","2024","1500 - 1999 grams","04",48
,"Greene County, MO","29077","2024","2024","2000 - 2499 grams","05",173
,"Greene County, MO","29077","2024","2024","2500 - 2999 grams","06",554
,"Greene County, MO","29077","2024","2024","3000 - 3499 grams","07",1193
,"Greene County, MO","29077","2024","2024","3500 - 3999 grams","08",918
,"Greene County, MO","29077","2024","2024","4000 - 4499 grams","09",236
,"Greene County, MO","29077","2024","2024","4500 - 4999 grams","10",29
,"Jackson County, MO","29095","2016","2016","499 grams or less","01",16
,"Jackson County, MO","29095","2016","2016","500 - 999 grams","02",28
,"Jackson County, MO","29095","2016","2016","1000 - 1499 grams","03",69
,"Jackson County, MO","29095","2016","2016","1500 - 1999 grams","04",140
,"Jackson County, MO","29095","2016","2016","2000 - 2499 grams","05",461
,"Jackson County, MO","29095","2016","2016","2500 - 2999 grams","06",1481
,"Jackson County, MO","29095","2016","2016","3000 - 3499 grams","07",3097
,"Jackson County, MO","29095","2016","2016","3500 - 3999 grams","08",2147
,"Jackson County, MO","29095","2016","2016","4000 - 4499 grams","09",540
,"Jackson County, MO","29095","2016","2016","4500 - 4999 grams","10",82
,"Jackson County, MO","29095","2017","2017","499 grams or less","01",21
,"Jackson County, MO","29095","2017","2017","500 - 999 grams","02",31
,"Jackson County, MO","29095","2017","2017","1000 - 1499 grams","03",74
,"Jackson County, MO","29095","2017","2017","1500 - 1999 grams","04",164
,"Jackson County, MO","29095","2017","2017","2000 - 2499 grams","05",448
,"Jackson County, MO","29095","2017","2017","2500 - 2999 grams","06",1506
,"Jackson County, MO","29095","2017","2017","3000 - 3499 grams","07",3121
,"Jackson County, MO","29095","2017","2017","3500 - 3999 grams","08",2127
,"Jackson County, MO","29095","2017","2017","4000 - 4499 grams","09",556
,"Jackson County, MO","29095","2017","2017","4500 - 4999 grams","10",73
,"Jackson County, MO","29095","2017","2017","5000 - 8165 grams","11",16
,"Jackson County, MO","29095","2018","2018","499 grams or less","01",14
,"Jackson County, MO","29095","2018","2018","500 - 999 grams","02",21
,"Jackson County, MO","29095","2018","2018","1000 - 1499 grams","03",55
,"Jackson County, MO","29095","2018","2018","1500 - 1999 grams","04",174
