"Notes","County of Residence","County of Residence Code","Year","Year Code","Age of Mother 13","Age of Mother 13 Code",Births
,"Greene County, MO","29077","2021","2021","40-44 years","40-44",49
,"Greene County, MO","29077","2022","2022","16 years","16",17
,"Greene County, MO","29077","2022","2022","17 years","17",22
,"Greene County, MO","29077","2022","2022","18 years","18",42
,"Greene County, MO","29077","2022","2022","19 years","19",81
,"Greene County, MO","29077","2022","2022","20-24 years","20-24",650
,"Greene County, MO","29077","2022","2022","25-29 years","25-29",955
,"Greene County, MO","29077","2022","2022","30-34 years","30-34",747
,"Greene County, MO","29077","2022","2022","35-39 years","35-39",354
,"Greene County, MO","29077","2022","2022","40-44 years","40-44",60
,"Greene County, MO","29077","2023","2023","16 years","16",15
,"Greene County, MO","29077","2023","2023","17 years","17",20
,"Greene County, MO","29077","2023","2023","18 years","18",34
,"Greene County, MO","29077","2023","2023","19 years","19",87
,"Greene County, MO","29077","2023","2023","20-24 years","20-24",719
,"Greene County, MO","29077","2023","2023","25-29 years","25-29",961
,"Greene County, MO","29077","2023","2023","30-34 years","30-34",766
,"Greene County, MO","29077","2023","2023","35-39 years","35-39",322
,"Greene County, MO","29077","2023","2023","40-44 years","40-44",73
,"Greene County, MO","29077","2024","2024","17 years","17",27
,"Greene County, MO","29077","2024","2024","18 years","18",43
,"Greene County, MO","29077","2024","2024","19 years","19",79
,"Greene County, MO","29077","2024","2024","20-24 years","20-24",714
,"Greene County, MO","29077","2024","2024","25-29 years","25-29",1054
,"Greene County, MO","29077","2024","2024","30-34 years","30-34",831
,"Greene County, MO","29077","2024","2024","35-39 years","35-39",377
,"Greene County, MO","29077","2024","2024","40-44 years","40-44",64
,"Jackson County, MO","29095","2016","2016","15 years","15",21
,"Jackson County, MO","29095","2016","2016","16 years","16",48
,"Jackson County, MO","29095","2016","2016","17 years","17",78
,"Jackson County, MO","29095","2016","2016","18 years","18",169
,"Jackson County, MO","29095","2016","2016","19 years","19",231
,"Jackson County, MO","29095","2016","2016","20-24 years","20-24",1885
,"Jackson County, MO","29095","2016","2016","25-29 years","25-29",2516
,"Jackson County, MO","29095","2016","2016","30-34 years","30-34",2064
,"Jackson County, MO","29095","2016","2016","35-39 years","35-39",883
,"Jackson County, MO","29095","2016","2016","40-44 years","40-44",161
,"Jackson County, MO","29095","2017","2017","15 years","15",12
,"Jackson County, MO","29095","2017","2017","16 years","16",31
,"Jackson County, MO","29095","2017","2017","17 years","17",84
,"Jackson County, MO","29095","2017","2017","18 years","18",149
,"Jackson County, MO","29095","2017","2017","19 years","19",258
,"Jackson County, MO","29095","2017","2017","20-24 years","20-24",1851
,"Jackson County, MO","29095","2017","2017","25-29 years","25-29",2439
,"Jackson County, MO","29095","2017","2017","30-34 years","30-34",2209
,"Jackson County, MO","29095","2017","2017","35-39 years","35-39",923
,"Jackson County, MO","29095","2017","2017","40-44 years","40-44",171
,"Jackson County, MO","29095","2018","2018","15 years","15",15
,"Jackson County, MO","29095","2018","2018","16 years","16",41
,"Jackson County, MO","29095","2018","2018","17 years","17",73
,"Jackson County, MO","29095","2018","2018","18 years","18",139
,"Jackson County, MO","29095","2018","2018","19 years","19",226
,"Jackson County, MO","29095","2018","2018","20-24 years","20-24",1809
,"Jackson County, MO","29095","2018","2018","25-29 years","25-29",2569
,"Jackson County, MO","29095","2018","2018","30-34 years","30-34",2088
,"Jackson County, MO","29095","2018","2018","35-39 years","35-39",987
,"Jackson County, MO","29095","2018","2018","40-44 years","40-44",186
,"Jackson County, MO","29095","2018","2018","45-49 years","45-49",15
,"Jackson County, MO","29095","2019","2019","15 years","15",18
,"Jackson County, MO","29095","2019","2019","16 years","16",36
,"Jackson County, MO","29095","2019","2019","17 years","17",72
,"Jackson County, MO","29095","2019","2019","18 years","18",144
,"Jackson County, MO","29095","2019","2019","19 years","19",227
,"Jackson County, MO","29095","2019","2019","20-24 years","20-24",1791
,"Jackson County, MO","29095","2019","2019","25-29 years","25-29",2471
,"Jackson County, MO","29095","2019","2019","30-34 years","30-34",2150
,"Jackson County, MO","29095","2019","2019","35-39 years","35-39",990
,"Jackson County, MO","29095","2019","2019","40-44 years","40-44",173
,"Jackson County, MO","29095","2019","2019","45-49 years","45-49",14
,"Jackson County, MO","29095","2020","2020","15 years","15",11
,"Jackson County, MO","29095","2020","2020","16 years","16",39
,"Jackson County, MO","29095","2020","2020","17 years","17",57
,"Jackson County, MO","29095","2020","2020","18 years","18",116
,"Jackson County, MO","29095","2020","2020","19 years","19",198
,"Jackson County, MO","29095","2020","2020","20-24 years","20-24",1697
,"Jackson County, MO","29095","2020","2020","25-29 years","25-29",2362
,"Jackson County, MO","29095","2020","2020","30-34 years","30-34",2191
,"Jackson County, MO","29095","2020","2020","35-39 years","35-39",1010
,"Jackson County, MO","29095","2020","2020","40-44 years","40-44",184
,"Jackson County, MO","29095","2021","2021","16 years","16",25
,"Jackson County, MO","29095","2021","2021","17 years","17",54
,"Jackson County, MO","29095","2021","2021","18 years","18",110
,"Jackson County, MO","29095","2021","2021","19 years","19",166
,"Jackson County, MO","29095","2021","2021","20-24 years","20-24",1510
,"Jackson County, MO","29095","2021","2021","25-29 years","25-29",2232
,"Jackson County, MO","29095","2021","2021","30-34 years","30-34",2187
,"Jackson County, MO","29095","2021","2021","35-39 years","35-39",965
,"Jackson County, MO","29095","2021","2021","40-44 years","40-44",180
,"Jackson County, MO","29095","2022","2022","15 years","15",16
,"Jackson County, MO","29095","2022","2022","16 years","16",33
,"Jackson County, MO","29095","2022","2022","17 years","17",55
,"Jackson County, MO","29095","2022","2022","18 years","18",113
,"Jackson County, MO","29095","2022","2022","19 years","19",181
,"Jackson County, MO","29095","2022","2022","20-24 years","20-24",1606
,"Jackson County, MO","29095","2022","2022","25-29 years","25-29",2341
,"Jackson County, MO","29095","2022","2022","30-34 years","30-34",2313
,"Jackson County, MO","29095","2022","2022","35-39 years","35-39",1066
,"Jackson County, MO","29095","2022","2022","40-44 years","40-44",194
,"Jackson County, MO","29095","2022","2022","45-49 years","45-49",12
,"Jackson County, MO","29095","2023","2023","15 years","15",21
,"Jackson County, MO","29095","2023","2023","16 years","16",25
,"Jackson County, MO","29095","2023","2023","17 years","17",72
,"Jackson County, MO","29095","2023","2023","18 years","18",107
,"Jackson County, MO","29095","2023","2023","19 years","19",169
,"Jackson County, MO","29095","2023","2023","20-24 years","20-24",1485
,"Jackson County, MO","29095","2023","2023","25-29 years","25-29",2412
,"Jackson County, MO","29095","2023","2023","30-34 years","30-34",2366
,"Jackson County, MO","29095","2023","2023","35-39 years","35-39",1135
,"Jackson County, MO","29095","2023","2023","40-44 years","40-44",211
,"Jackson County, MO","29095","2023","2023","45-49 years","45-49",17
,"Jackson County, MO","29095","2024","2024","16 years","16",35
,"Jackson County, MO","29095","2024","2024","17 years","17",58
,"Jackson County, MO","29095","2024","2024","18 years","18",120
,"Jackson County, MO","29095","2024","2024","19 years","19",189
,"Jackson County, MO","29095","2024","2024","20-24 years","20-24",1572
,"Jackson County, MO","29095","2024","2024","25-29 years","25-29",2494
,"Jackson County, MO","29095","2024","2024","30-34 years","30-34",2363
,"Jackson County, MO","29095","2024","2024","35-39 years","35-39",1130
,"Jackson County, MO","29095","2024","2024","40-44 years","40-44",210
,"Jackson County, MO","29095","2024","2024","45-49 years","45-49",13
,"Jasper County, MO","29097","2016","2016","17 years","17",28
,"Jasper County, MO","29097","2016","2016","18 years","18",38
,"Jasper County, MO","29097","2016","2016","19 years","19",69
,"Jasper County, MO","29097","2016","2016","20-24 years","20-24",491
,"Jasper County, MO","29097","2016","2016","25-29 years","25-29",530
,"Jasper County, MO","29097","2016","2016","30-34 years","30-34",293
,"Jasper County, MO","29097","2016","2016","35-39 years","35-39",106
,"Jasper County, MO","29097","2016","2016","40-44 years","40-44",28
,"Jasper County, MO","29097","2017","2017","16 years","16",13
,"Jasper County, MO","29097","2017","2017","17 years","17",18
,"Jasper County, MO","29097","2017","2017","18 years","18",42
,"Jasper County, MO","29097","2017","2017","19 years","19",62
,"Jasper County, MO","29097","2017","2017","20-24 years","20-24",511
,"Jasper County, MO","29097","2017","2017","25-29 years","25-29",461
,"Jasper County, MO","29097","2017","2017","30-34 years","30-34",306
,"Jasper County, MO","29097","2017","2017","35-39 years","35-39",104
,"Jasper County, MO","29097","2017","2017","40-44 years","40-44",16
,"Jasper County, MO","29097","2018","2018","16 years","16",11
,"Jasper County, MO","29097","2018","2018","17 years","17",15
,"Jasper County, MO","29097","2018","2018","18 years","18",36
,"Jasper County, MO","29097","2018","2018","19 years","19",60
,"Jasper County, MO","29097","2018","2018","20-24 years","20-24",435
,"Jasper County, MO","29097","2018","2018","25-29 years","25-29",484
,"Jasper County, MO","29097","2018","2018","30-34 years","30-34",295
,"Jasper County, MO","29097","2018","2018","35-39 years","35-39",136
,"Jasper County, MO","29097","2018","2018","40-44 years","40-44",16
,"Jasper County, MO","29097","2019","2019","16 years","16",11
,"Jasper County, MO","29097","2019","2019","17 years","17",20
,"Jasper County, MO","29097","2019","2019","18 years","18",43
,"Jasper County, MO","29097","2019","2019","19 years","19",72
,"Jasper County, MO","29097","2019","2019","20-24 years","20-24",417
,"Jasper County, MO","29097","2019","2019","25-29 years","25-29",507
,"Jasper County, MO","29097","2019","2019","30-34 years","30-34",283
,"Jasper County, MO","29097","2019","2019","35-39 years","35-39",99
,"Jasper County, MO","29097","2019","2019","40-44 years","40-44",16
,"Jasper County, MO","29097","2020","2020","17 years","17",14
,"Jasper County, MO","29097","2020","2020","18 years","18",33
,"Jasper County, MO","29097","2020","2020","19 years","19",51
,"Jasper County, MO","29097","2020","2020","20-24 years","20-24",405
,"Jasper County, MO","29097","2020","2020","25-29 years","25-29",477
,"Jasper County, MO","29097","2020","2020","30-34 years","30-34",279
,"Jasper County, MO","29097","2020","2020","35-39 years","35-39",140
,"Jasper County, MO","29097","2020","2020","40-44 years","40-44",21
,"Jasper County, MO","29097","2021","2021","16 years","16",10
,"Jasper County, MO","29097","2021","2021","17 years","17",13
,"Jasper County, MO","29097","2021","2021","18 years","18",24
,"Jasper County, MO","29097","2021","2021","19 years","19",51
,"Jasper County, MO","29097","2021","2021","20-24 years","20-24",436
,"Jasper County, MO","29097","2021","2021","25-29 years","25-29",493
,"Jasper County, MO","29097","2021","2021","30-34 years","30-34",303
,"Jasper County, MO","29097","2021","2021","35-39 years","35-39",118
,"Jasper County, MO","29097","2021","2021","40-44 years","40-44",27
,"Jasper County, MO","29097","2022","2022","16 years","16",10
,"Jasper County, MO","29097","2022","2022","17 years","17",12
,"Jasper County, MO","29097","2022","2022","18 years","18",35
,"Jasper County, MO","29097","2022","2022","19 years","19",58
,"Jasper County, MO","29097","2022","2022","20-24 years","20-24",454
,"Jasper County, MO","29097","2022","2022","25-29 years","25-29",478
,"Jasper County, MO","29097","2022","2022","30-34 years","30-34",300
,"Jasper County, MO","29097","2022","2022","35-39 years","35-39",129
,"Jasper County, MO","29097","2022","2022","40-44 years","40-44",26
,"Jasper County, MO","29097","2023","2023","17 years","17",17
,"Jasper County, MO","29097","2023","2023","18 years","18",26
,"Jasper County, MO","29097","2023","2023","19 years","19",49
,"Jasper County, MO","29097","2023","2023","20-24 years","20-24",394
,"Jasper County, MO","29097","2023","2023","25-29 years","25-29",449
,"Jasper County, MO","29097","2023","2023","30-34 years","30-34",297
,"Jasper County, MO","29097","2023","2023","35-39 years","35-39",116
,"Jasper County, MO","29097","2023","2023","40-44 years","40-44",21
,"Jasper County, MO","29097","2024","2024","17 years","17",19
,"Jasper County, MO","29097","2024","2024","18 years","18",27
,"Jasper County, MO","29097","2024","2024","19 years","19",52
,"Jasper County, MO","29097","2024","2024","20-24 years","20-24",356
,"Jasper County, MO","29097","2024","2024","25-29 years","25-29",479
,"Jasper County, MO","29097","2024","2024","30-34 years","30-34",314
,"Jasper County, MO","29097","2024","2024","35-39 years","35-39",126
,"Jasper County, MO","29097","2024","2024","40-44 years","40-44",20
,"Jefferson County, MO","29099","2016","2016","17 years","17",25
,"Jefferson County, MO","29099","2016","2016","18 years","18",32
,"Jefferson County, MO","29099","2016","2016","19 years","19",57
,"Jefferson County, MO","29099","2016","2016","20-24 years","20-24",502
,"Jefferson County, MO","29099","2016","2016","25-29 years","25-29",783
,"Jefferson County, MO","29099","2016","2016","30-34 years","30-34",619
,"Jefferson County, MO","29099","2016","2016","35-39 years","35-39",223
,"Jefferson County, MO","29099","2016","2016","40-44 years","40-44",37
,"Jefferson County, MO","29099","2017","2017","17 years","17",11
