"Notes","County of Residence","County of Residence Code","Year","Year Code","Gestational Diabetes","Gestational Diabetes Code",Births
,"St. Charles County, MO","29183","2024","2024","Yes","1",353
,"St. Charles County, MO","29183","2024","2024","No","2",3377
"Total","St. Charles County, MO","29183","2024","2024",,,3730
"Total","St. Charles County, MO","29183",,,,,33974
,"St. Louis County, MO","29189","2016","2016","Yes","1",621
,"St. Louis County, MO","29189","2016","2016","No","2",9049
"Total","St. Louis County, MO","29189","2016","2016",,,9670
,"St. Louis County, MO","29189","2017","2017","Yes","1",612
,"St. Louis County, MO","29189","2017","2017","No","2",8362
"Total","St. Louis County, MO","29189","2017","2017",,,8974
,"St. Louis County, MO","29189","2018","2018","Yes","1",634
,"St. Louis County, MO","29189","2018","2018","No","2",8587
"Total","St. Louis County, MO","29189","2018","2018",,,9221
,"St. Louis County, MO","29189","2019","2019","Yes","1",735
,"St. Louis County, MO","29189","2019","2019","No","2",8931
"Total","St. Louis County, MO","29189","2019","2019",,,9666
,"St. Louis County, MO","29189","2020","2020","Yes","1",743
,"St. Louis County, MO","29189","2020","2020","No","2",8036
"Total","St. Louis County, MO","29189","2020","2020",,,8779
,"St. Louis County, MO","29189","2021","2021","Yes","1",705
,"St. Louis County, MO","29189","2021","2021","No","2",7623
"Total","St. Louis County, MO","29189","2021","2021",,,8328
,"St. Louis County, MO","29189","2022","2022","Yes","1",618
,"St. Louis County, MO","29189","2022","2022","No","2",8158
"Total","St. Louis County, MO","29189","2022","2022",,,8776
,"St. Louis County, MO","29189","2023","2023","Yes","1",640
,"St. Louis County, MO","29189","2023","2023","No","2",7869
"Total","St. Louis County, MO","29189","2023","2023",,,8509
,"St. Louis County, MO","29189","2024","2024","Yes","1",648
,"St. Louis County, MO","29189","2024","2024","No","2",8207
"Total","St. Louis County, MO","29189","2024","2024",,,8855
"Total","St. Louis County, MO","29189",,,,,80778
,"St. Louis city, MO","29510","2016","2016","Yes","1",153
,"St. Louis city, MO","29510","2016","2016","No","2",3325
"Total","St. Louis city, MO","29510","2016","2016",,,3478
,"St. Louis city, MO","29510","2017","2017","Yes","1",179
,"St. Louis city, MO","29510","2017","2017","No","2",2876
"Total","St. Louis city, MO","29510","2017","2017",,,3055
,"St. Louis city, MO","29510","2018","2018","Yes","1",159
,"St. Louis city, MO","29510","2018","2018","No","2",2884
"Total","St. Louis city, MO","29510","2018","2018",,,3043
,"St. Louis city, MO","29510","2019","2019","Yes","1",164
,"St. Louis city, MO","29510","2019","2019","No","2",3100
"Total","St. Louis city, MO","29510","2019","2019",,,3264
,"St. Louis city, MO","29510","2020","2020","Yes","1",185
,"St. Louis city, MO","29510","2020","2020","No","2",2793
"Total","St. Louis city, MO","29510","2020","2020",,,2978
,"St. Louis city, MO","29510","2021","2021","Yes","1",220
,"St. Louis city, MO","29510","2021","2021","No","2",2813
"Total","St. Louis city, MO","29510","2021","2021",,,3033
,"St. Louis city, MO","29510","2022","2022","Yes","1",178
,"St. Louis city, MO","29510","2022","2022","No","2",2726
"Total","St. Louis city, MO","29510","2022","2022",,,2904
,"St. Louis city, MO","29510","2023","2023","Yes","1",138
,"St. Louis city, MO","29510","2023","2023","No","2",2754
"Total","St. Louis city, MO","29510","2023","2023",,,2892
,"St. Louis city, MO","29510","2024","2024","Yes","1",178
,"St. Louis city, MO","29510","2024","2024","No","2",2617
"Total","St. Louis city, MO","29510","2024","2024",,,2795
"Total","St. Louis city, MO","29510",,,,,27442
,"Unidentified Counties, MO","29999","2016","2016","Yes","1",1598
,"Unidentified Counties, MO","29999","2016","2016","No","2",25555
"Total","Unidentified Counties, MO","29999","2016","2016",,,27153
,"Unidentified Counties, MO","29999","2017","2017","Yes","1",1766
,"Unidentified Counties, MO","29999","2017","2017","No","2",25184
"Total","Unidentified Counties, MO","29999","2017","2017",,,26950
,"Unidentified Counties, MO","29999","2018","2018","Yes","1",1898
,"Unidentified Counties, MO","29999","2018","2018","No","2",25924
"Total","Unidentified Counties, MO","29999","2018","2018",,,27822
,"Unidentified Counties, MO","29999","2019","2019","Yes","1",1950
,"Unidentified Counties, MO","29999","2019","2019","No","2",24982
"Total","Unidentified Counties, MO","29999","2019","2019",,,26932
,"Unidentified Counties, MO","29999","2020","2020","Yes","1",2244
,"Unidentified Counties, MO","29999","2020","2020","No","2",23798
"Total","Unidentified Counties, MO","29999","2020","2020",,,26042
,"Unidentified Counties, MO","29999","2021","2021","Yes","1",2345
,"Unidentified Counties, MO","29999","2021","2021","No","2",24026
"Total","Unidentified Counties, MO","29999","2021","2021",,,26371
,"Unidentified Counties, MO","29999","2022","2022","Yes","1",2296
,"Unidentified Counties, MO","29999","2022","2022","No","2",24111
"Total","Unidentified Counties, MO","29999","2022","2022",,,26407
,"Unidentified Counties, MO","29999","2023","2023","Yes","1",2376
,"Unidentified Counties, MO","29999","2023","2023","No","2",24171
"Total","Unidentified Counties, MO","29999","2023","2023",,,26547
,"Unidentified Counties, MO","29999","2024","2024","Yes","1",2394
,"Unidentified Counties, MO","29999","2024","2024","No","2",24187
"Total","Unidentified Counties, MO","29999","2024","2024",,,26581
"Total","Unidentified Counties, MO","29999",,,,,240805
"Total",,,,,,,565557
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Gestational Diabetes: Yes; No"
"Gestational Hypertension: Yes; No"
"Marital Status: Married; Unmarried"
