"Notes","County of Residence","County of Residence Code","Year","Year Code","Number of Prenatal Visits Recode","Number of Prenatal Visits Recode Code",Births
,"Franklin County, MO","29071","2023","2023","17 to 18 visits","10",17
,"Franklin County, MO","29071","2023","2023","19 or more visits","11",28
,"Franklin County, MO","29071","2024","2024","No visits","1",13
,"Franklin County, MO","29071","2024","2024","1 to 2 visits","2",12
,"Franklin County, MO","29071","2024","2024","3 to 4 visits","3",19
,"Franklin County, MO","29071","2024","2024","5 to 6 visits","4",41
,"Franklin County, MO","29071","2024","2024","7 to 8 visits","5",80
,"Franklin County, MO","29071","2024","2024","9 to 10 visits","6",244
,"Franklin County, MO","29071","2024","2024","11 to 12 visits","7",358
,"Franklin County, MO","29071","2024","2024","13 to 14 visits","8",233
,"Franklin County, MO","29071","2024","2024","15 to 16 visits","9",61
,"Franklin County, MO","29071","2024","2024","17 to 18 visits","10",20
,"Franklin County, MO","29071","2024","2024","19 or more visits","11",29
,"Greene County, MO","29077","2016","2016","No visits","1",54
,"Greene County, MO","29077","2016","2016","1 to 2 visits","2",40
,"Greene County, MO","29077","2016","2016","3 to 4 visits","3",75
,"Greene County, MO","29077","2016","2016","5 to 6 visits","4",129
,"Greene County, MO","29077","2016","2016","7 to 8 visits","5",182
,"Greene County, MO","29077","2016","2016","9 to 10 visits","6",392
,"Greene County, MO","29077","2016","2016","11 to 12 visits","7",702
,"Greene County, MO","29077","2016","2016","13 to 14 visits","8",732
,"Greene County, MO","29077","2016","2016","15 to 16 visits","9",258
,"Greene County, MO","29077","2016","2016","17 to 18 visits","10",73
,"Greene County, MO","29077","2016","2016","19 or more visits","11",64
,"Greene County, MO","29077","2017","2017","No visits","1",69
,"Greene County, MO","29077","2017","2017","1 to 2 visits","2",42
,"Greene County, MO","29077","2017","2017","3 to 4 visits","3",95
,"Greene County, MO","29077","2017","2017","5 to 6 visits","4",118
,"Greene County, MO","29077","2017","2017","7 to 8 visits","5",169
,"Greene County, MO","29077","2017","2017","9 to 10 visits","6",355
,"Greene County, MO","29077","2017","2017","11 to 12 visits","7",722
,"Greene County, MO","29077","2017","2017","13 to 14 visits","8",745
,"Greene County, MO","29077","2017","2017","15 to 16 visits","9",298
,"Greene County, MO","29077","2017","2017","17 to 18 visits","10",103
,"Greene County, MO","29077","2017","2017","19 or more visits","11",125
,"Greene County, MO","29077","2018","2018","No visits","1",148
,"Greene County, MO","29077","2018","2018","1 to 2 visits","2",43
,"Greene County, MO","29077","2018","2018","3 to 4 visits","3",112
,"Greene County, MO","29077","2018","2018","5 to 6 visits","4",148
,"Greene County, MO","29077","2018","2018","7 to 8 visits","5",205
,"Greene County, MO","29077","2018","2018","9 to 10 visits","6",365
,"Greene County, MO","29077","2018","2018","11 to 12 visits","7",729
,"Greene County, MO","29077","2018","2018","13 to 14 visits","8",729
,"Greene County, MO","29077","2018","2018","15 to 16 visits","9",365
,"Greene County, MO","29077","2018","2018","17 to 18 visits","10",124
,"Greene County, MO","29077","2018","2018","19 or more visits","11",140
,"Greene County, MO","29077","2019","2019","No visits","1",177
,"Greene County, MO","29077","2019","2019","1 to 2 visits","2",28
,"Greene County, MO","29077","2019","2019","3 to 4 visits","3",102
,"Greene County, MO","29077","2019","2019","5 to 6 visits","4",141
,"Greene County, MO","29077","2019","2019","7 to 8 visits","5",205
,"Greene County, MO","29077","2019","2019","9 to 10 visits","6",374
,"Greene County, MO","29077","2019","2019","11 to 12 visits","7",757
,"Greene County, MO","29077","2019","2019","13 to 14 visits","8",791
,"Greene County, MO","29077","2019","2019","15 to 16 visits","9",307
,"Greene County, MO","29077","2019","2019","17 to 18 visits","10",111
,"Greene County, MO","29077","2019","2019","19 or more visits","11",130
,"Greene County, MO","29077","2020","2020","No visits","1",153
,"Greene County, MO","29077","2020","2020","1 to 2 visits","2",28
,"Greene County, MO","29077","2020","2020","3 to 4 visits","3",66
