"Notes","County of Residence","County of Residence Code","Year","Year Code","Mother's Education","Mother's Education Code",Births
,"Franklin County, MO","29071","2022","2022","High school graduate or GED completed","3",224
,"Franklin County, MO","29071","2022","2022","Some college credit, but not a degree","4",247
,"Franklin County, MO","29071","2022","2022","Associate degree (AA, AS)","5",144
,"Franklin County, MO","29071","2022","2022","Bachelor's degree (BA, AB, BS)","6",211
,"Franklin County, MO","29071","2022","2022","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",81
,"Franklin County, MO","29071","2022","2022","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",29
,"Franklin County, MO","29071","2023","2023","9th through 12th grade with no diploma","2",92
,"Franklin County, MO","29071","2023","2023","High school graduate or GED completed","3",287
,"Franklin County, MO","29071","2023","2023","Some college credit, but not a degree","4",227
,"Franklin County, MO","29071","2023","2023","Associate degree (AA, AS)","5",133
,"Franklin County, MO","29071","2023","2023","Bachelor's degree (BA, AB, BS)","6",210
,"Franklin County, MO","29071","2023","2023","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",76
,"Franklin County, MO","29071","2023","2023","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",14
,"Franklin County, MO","29071","2024","2024","9th through 12th grade with no diploma","2",97
,"Franklin County, MO","29071","2024","2024","High school graduate or GED completed","3",264
,"Franklin County, MO","29071","2024","2024","Some college credit, but not a degree","4",259
,"Franklin County, MO","29071","2024","2024","Associate degree (AA, AS)","5",149
,"Franklin County, MO","29071","2024","2024","Bachelor's degree (BA, AB, BS)","6",222
,"Franklin County, MO","29071","2024","2024","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",89
,"Franklin County, MO","29071","2024","2024","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",24
,"Greene County, MO","29077","2016","2016","8th grade or less","1",20
,"Greene County, MO","29077","2016","2016","9th through 12th grade with no diploma","2",261
,"Greene County, MO","29077","2016","2016","High school graduate or GED completed","3",509
,"Greene County, MO","29077","2016","2016","Some college credit, but not a degree","4",775
,"Greene County, MO","29077","2016","2016","Associate degree (AA, AS)","5",277
,"Greene County, MO","29077","2016","2016","Bachelor's degree (BA, AB, BS)","6",544
,"Greene County, MO","29077","2016","2016","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",263
,"Greene County, MO","29077","2016","2016","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",52
,"Greene County, MO","29077","2017","2017","8th grade or less","1",30
,"Greene County, MO","29077","2017","2017","9th through 12th grade with no diploma","2",250
,"Greene County, MO","29077","2017","2017","High school graduate or GED completed","3",631
,"Greene County, MO","29077","2017","2017","Some college credit, but not a degree","4",734
,"Greene County, MO","29077","2017","2017","Associate degree (AA, AS)","5",299
,"Greene County, MO","29077","2017","2017","Bachelor's degree (BA, AB, BS)","6",580
,"Greene County, MO","29077","2017","2017","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",264
,"Greene County, MO","29077","2017","2017","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",53
,"Greene County, MO","29077","2018","2018","8th grade or less","1",33
,"Greene County, MO","29077","2018","2018","9th through 12th grade with no diploma","2",322
,"Greene County, MO","29077","2018","2018","High school graduate or GED completed","3",716
,"Greene County, MO","29077","2018","2018","Some college credit, but not a degree","4",813
,"Greene County, MO","29077","2018","2018","Associate degree (AA, AS)","5",310
,"Greene County, MO","29077","2018","2018","Bachelor's degree (BA, AB, BS)","6",604
,"Greene County, MO","29077","2018","2018","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",255
,"Greene County, MO","29077","2018","2018","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",55
,"Greene County, MO","29077","2019","2019","8th grade or less","1",32
,"Greene County, MO","29077","2019","2019","9th through 12th grade with no diploma","2",296
,"Greene County, MO","29077","2019","2019","High school graduate or GED completed","3",714
,"Greene County, MO","29077","2019","2019","Some college credit, but not a degree","4",795
,"Greene County, MO","29077","2019","2019","Associate degree (AA, AS)","5",356
,"Greene County, MO","29077","2019","2019","Bachelor's degree (BA, AB, BS)","6",615
,"Greene County, MO","29077","2019","2019","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",255
,"Greene County, MO","29077","2019","2019","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",60
,"Greene County, MO","29077","2020","2020","8th grade or less","1",20
,"Greene County, MO","29077","2020","2020","9th through 12th grade with no diploma","2",290
,"Greene County, MO","29077","2020","2020","High school graduate or GED completed","3",710
,"Greene County, MO","29077","2020","2020","Some college credit, but not a degree","4",786
,"Greene County, MO","29077","2020","2020","Associate degree (AA, AS)","5",309
,"Greene County, MO","29077","2020","2020","Bachelor's degree (BA, AB, BS)","6",596
,"Greene County, MO","29077","2020","2020","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",232
,"Greene County, MO","29077","2020","2020","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",72
,"Greene County, MO","29077","2021","2021","8th grade or less","1",39
,"Greene County, MO","29077","2021","2021","9th through 12th grade with no diploma","2",260
,"Greene County, MO","29077","2021","2021","High school graduate or GED completed","3",753
,"Greene County, MO","29077","2021","2021","Some college credit, but not a degree","4",749
,"Greene County, MO","29077","2021","2021","Associate degree (AA, AS)","5",317
,"Greene County, MO","29077","2021","2021","Bachelor's degree (BA, AB, BS)","6",612
,"Greene County, MO","29077","2021","2021","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",262
,"Greene County, MO","29077","2021","2021","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",72
,"Greene County, MO","29077","2022","2022","8th grade or less","1",40
,"Greene County, MO","29077","2022","2022","9th through 12th grade with no diploma","2",251
,"Greene County, MO","29077","2022","2022","High school graduate or GED completed","3",736
,"Greene County, MO","29077","2022","2022","Some college credit, but not a degree","4",651
,"Greene County, MO","29077","2022","2022","Associate degree (AA, AS)","5",319
,"Greene County, MO","29077","2022","2022","Bachelor's degree (BA, AB, BS)","6",626
,"Greene County, MO","29077","2022","2022","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",256
,"Greene County, MO","29077","2022","2022","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",57
,"Greene County, MO","29077","2023","2023","8th grade or less","1",34
,"Greene County, MO","29077","2023","2023","9th through 12th grade with no diploma","2",250
,"Greene County, MO","29077","2023","2023","High school graduate or GED completed","3",770
,"Greene County, MO","29077","2023","2023","Some college credit, but not a degree","4",716
,"Greene County, MO","29077","2023","2023","Associate degree (AA, AS)","5",303
,"Greene County, MO","29077","2023","2023","Bachelor's degree (BA, AB, BS)","6",626
,"Greene County, MO","29077","2023","2023","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",234
,"Greene County, MO","29077","2023","2023","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",67
,"Greene County, MO","29077","2024","2024","8th grade or less","1",50
,"Greene County, MO","29077","2024","2024","9th through 12th grade with no diploma","2",255
,"Greene County, MO","29077","2024","2024","High school graduate or GED completed","3",904
