Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Education Status:  Less Than 12 Years;,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,,
Pettis,93,17.48,,87,14.72,,110,18.43,,85,14.24,,90,16.30,,112,18.86,,114,20.84,,93,15.74,,96,18.36,,880,17.17,,,
Phelps,50,10.10,,46,9.39,,52,11.13,,44,10.55,,41,10.33,,38,8.96,,61,13.77,,37,9.41,,40,8.85,,409,10.28,,,
Pike,41,19.07,,46,20.63,,38,17.67,,38,18.81,,40,19.32,,37,18.32,,26,13.98,,38,20.54,,45,23.68,,349,19.12,,,
Platte,57,4.60,,48,4.04,,47,3.86,,62,5.12,,56,4.79,,43,3.51,,53,4.56,,58,5.12,,56,4.73,,480,4.48,,,
Polk,73,19.06,,76,19.95,,77,18.25,,76,17.39,,65,17.33,,54,13.92,,64,17.25,,70,17.24,,62,15.94,,617,17.37,,,
Pulaski,68,8.51,,53,7.69,,53,7.44,,56,7.79,,49,6.93,,48,6.49,,47,6.85,,40,6.19,,25,3.84,,439,6.91,,,
Putnam,13,20.97,*,20,35.09,,15,24.59,*,13,27.66,*,20,30.30,,11,22.92,*,13,19.40,*,10,16.13,*,7,18.92,*,122,24.06,,,
Ralls,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,69,7.94,,,
Randolph,51,17.17,,51,17.65,,48,15.58,,47,17.41,,26,10.44,,43,15.47,,37,12.85,,37,13.36,,34,14.11,,374,14.98,,,
Ray,31,12.40,,29,10.74,,40,14.93,,31,12.50,,35,13.26,,26,10.08,,25,10.42,,41,16.40,,32,13.97,,290,12.74,,,
Reynolds,12,24.49,*,8,13.56,*,6,8.22,*,8,11.76,*,9,11.84,*,7,13.21,*,6,9.09,*,12,20.69,*,7,13.73,*,75,13.56,,,
Ripley,38,21.71,,38,27.14,,30,18.99,,36,23.08,,25,16.67,,21,15.11,,19,15.08,*,32,21.62,,27,17.53,,266,19.76,,,
Saline,41,17.23,,44,18.57,,42,16.73,,45,16.61,,41,15.95,,45,18.91,,48,19.28,,44,16.99,,41,17.60,,391,17.51,,,
Schuyler,23,32.39,,30,37.04,,22,33.85,,26,39.39,,27,38.03,,25,42.37,,28,44.44,,24,38.71,,30,45.45,,235,38.91,,,
Scotland,49,55.06,,47,58.02,,46,62.16,,50,64.10,,52,66.67,,50,57.47,,60,74.07,,51,61.45,,56,65.12,,461,62.55,,,
Scott,61,12.68,,60,12.17,,74,14.80,,55,11.22,,70,14.34,,47,10.13,,48,10.41,,63,14.03,,67,15.44,,545,12.79,,,
Shannon,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,109,13.81,,,
Shelby,7,8.86,*,6,8.33,*,7,8.54,*,12,16.67,*,9,14.75,*,10,15.63,*,10,15.15,*,9,11.11,*,16,19.75,*,86,13.07,,,
St. Charles,197,4.40,,168,3.78,,180,4.19,,152,3.54,,141,3.47,,143,3.40,,143,3.37,,119,3.01,,131,3.20,,1374,3.61,,,
St. Clair,29,24.79,,25,26.32,,15,15.31,*,33,35.48,,31,30.39,,43,37.39,,33,28.45,,44,38.26,,49,39.52,,302,30.97,,,
St. Francois,112,16.02,,110,15.17,,98,14.06,,83,12.56,,95,13.71,,82,12.17,,72,11.06,,85,12.45,,86,12.50,,823,13.34,,,
St. Louis City,673,15.68,,603,14.64,,607,14.79,,592,15.07,,528,14.05,,485,13.18,,491,14.77,,473,14.63,,448,14.38,,4900,14.60,,,
St. Louis County,788,6.78,,747,6.60,,820,7.25,,746,6.58,,656,6.23,,620,5.93,,669,6.42,,648,6.73,,718,7.27,,6412,6.65,,,
Ste. Genevieve,24,12.57,,19,10.05,*,19,8.56,*,19,9.31,*,18,8.87,*,14,7.29,*,8,4.49,*,17,9.34,*,9,5.03,*,147,8.45,,,
Stoddard,51,16.61,,47,14.11,,54,15.47,,47,14.03,,58,16.48,,45,13.76,,44,13.29,,38,12.03,,44,13.62,,428,14.40,,,
Stone,45,18.37,,34,13.18,,48,18.05,,32,12.60,,38,13.97,,26,9.39,,40,14.98,,20,7.72,,32,12.26,,315,13.35,,,
Sullivan,10,11.76,*,12,15.79,*,24,24.49,,19,22.09,*,14,18.67,*,9,16.07,*,7,9.46,*,14,18.67,*,13,18.57,*,122,17.55,,,
Taney,119,18.09,,72,11.92,,101,15.42,,87,13.90,,89,14.93,,77,13.65,,66,11.07,,66,11.06,,89,14.69,,766,13.92,,,
Texas,61,20.20,,52,18.06,,38,14.45,,51,18.41,,62,24.12,,51,17.35,,42,16.15,,58,20.94,,58,20.49,,473,18.91,,,
Vernon,51,21.61,,39,16.74,,49,19.14,,53,21.99,,46,17.97,,62,24.70,,33,14.93,,54,22.04,,48,18.39,,435,19.77,,,
Warren,59,13.92,,42,10.32,,43,10.02,,44,10.45,,41,10.90,,38,8.80,,37,8.04,,32,7.55,,42,8.90,,378,9.83,,,
Washington,67,23.26,,53,18.47,,48,17.58,,45,16.36,,44,16.67,,48,17.84,,28,10.69,,36,15.93,,25,11.79,,394,16.72,,,
Wayne,27,19.15,,31,20.67,,21,18.42,,18,12.68,*,11,9.91,*,20,18.87,,20,15.63,,17,15.60,*,18,13.64,*,183,16.15,,,
Webster,203,34.88,,211,37.88,,220,36.30,,207,33.44,,187,34.06,,189,31.34,,206,33.44,,176,29.04,,194,30.03,,1793,33.30,,,
Worth,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,10,4.93,*,,
Wright,63,23.51,,55,21.48,,63,27.39,,50,19.53,,54,24.32,,49,19.84,,57,22.09,,56,21.37,,50,18.52,,497,21.90,,,
Total for selection,9364,12.58,,8761,12.04,,8730,11.95,,8410,11.70,,8036,11.64,,7585,10.99,,7681,11.18,,7703,11.54,,7778,11.51,,74048,11.69,,,
Missouri,9364,12.58,,8761,12.04,,8730,11.95,,8410,11.70,,8036,11.64,,7585,10.99,,7681,11.18,,7703,11.54,,7778,11.51,,74048,11.69,,,
Confidentiality:,"The ""x"" symbol indicates the confidentiality rule has been triggered.",
Rate:,Rate per 100 Numerator: Education Status:  Less Than 12 Years   Denominator: Live Births with Known Maternal Education Status,
Source:,DHSS - MOPHIMS - Birth MICA,
Generated On:,7/10/2026 8:59:30 PM,
*,Rate is unreliable; numerator less than 20,
