Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Prenatal Service Utilization:  Mother on Medicaid;,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perry,76,34.70,,74,33.48,,67,29.13,,68,33.01,,62,30.69,,72,33.03,,63,33.16,,78,36.79,,80,40.00,,640,33.72,,
Pettis,281,52.62,,295,49.33,,303,50.67,,297,49.50,,261,47.11,,303,51.97,,309,56.39,,342,57.29,,275,51.89,,2666,51.85,,
Phelps,174,35.08,,184,37.70,,197,42.37,,173,41.39,,186,46.97,,203,48.22,,223,50.45,,182,46.31,,214,47.45,,1736,43.73,,
Pike,87,40.85,,84,37.84,,77,36.15,,64,31.84,,81,39.13,,71,36.22,,69,37.30,,74,40.22,,80,42.33,,687,37.96,,
Platte,257,20.84,,237,20.07,,265,21.88,,264,21.89,,310,26.79,,265,22.61,,288,25.20,,312,27.64,,286,24.26,,2484,23.41,,
Polk,172,45.26,,169,44.36,,195,47.22,,175,40.14,,193,51.60,,171,43.96,,187,50.27,,202,49.88,,188,48.08,,1652,46.65,,
Pulaski,204,25.63,,194,28.20,,194,27.29,,202,28.57,,217,30.78,,218,29.50,,211,30.76,,204,31.53,,232,35.58,,1876,29.63,,
Putnam,21,35.00,,19,33.93,*,12,20.34,*,17,36.17,*,21,31.82,,15,31.25,*,27,40.30,,15,24.19,*,17,45.95,*,164,32.67,,
Ralls,32,31.68,,38,33.04,,28,30.43,,30,32.97,,31,31.00,,35,36.08,,35,35.35,,23,30.67,,28,29.17,,280,32.33,,
Randolph,105,35.35,,108,37.37,,154,49.84,,134,49.81,,130,51.38,,127,45.52,,148,51.57,,129,46.40,,116,47.93,,1151,45.98,,
Ray,93,37.50,,118,44.03,,102,38.20,,78,31.58,,113,43.30,,92,37.10,,82,34.89,,98,39.52,,78,33.91,,854,37.92,,
Reynolds,36,75.00,,40,68.97,,49,68.06,,40,65.57,,51,73.91,,35,67.31,,46,70.77,,41,70.69,,33,66.00,,371,69.61,,
Ripley,118,67.43,,98,70.00,,105,66.04,,112,72.73,,98,64.05,,107,76.43,,101,79.53,,116,77.85,,109,71.24,,964,71.41,,
Saline,114,47.90,,104,43.88,,109,43.25,,104,38.38,,100,38.76,,114,47.50,,118,47.39,,125,48.08,,105,44.87,,993,44.35,,
Schuyler,32,45.07,,17,21.25,*,8,12.50,*,14,21.21,*,19,26.76,*,14,24.14,*,24,38.10,,13,20.97,*,22,33.33,,163,27.12,,
Scotland,15,17.05,*,14,17.28,*,15,20.55,*,16,20.51,*,10,12.82,*,14,16.28,*,12,14.81,*,17,20.48,*,17,19.77,*,130,17.71,,
Scott,274,56.85,,275,56.47,,289,58.27,,258,53.20,,276,56.21,,225,48.28,,253,54.53,,246,54.67,,193,44.57,,2289,53.81,,
Shannon,59,66.29,,58,61.05,,53,55.79,,60,68.18,,54,65.85,,48,63.16,,61,63.54,,60,65.93,,51,67.11,,504,63.96,,
Shelby,21,26.25,,25,34.72,,34,41.46,,23,31.94,,26,42.62,,23,35.94,,24,36.36,,34,41.98,,42,51.85,,252,38.24,,
St. Charles,747,16.87,,651,14.85,,659,15.45,,664,15.53,,668,16.70,,617,15.30,,696,16.86,,595,15.35,,602,14.99,,5899,15.77,,
St. Clair,53,46.49,,46,49.46,,48,50.53,,39,42.86,,32,32.65,,32,30.19,,44,39.29,,49,44.14,,44,36.67,,387,41.17,,
St. Francois,390,56.69,,419,58.52,,360,54.05,,240,47.06,,171,36.62,,263,43.33,,316,49.38,,329,48.96,,342,50.15,,2830,50.11,,
St. Louis City,2486,58.03,,2305,56.54,,2240,54.70,,2100,53.65,,1929,51.72,,1878,51.95,,1725,52.51,,1656,51.46,,1489,48.13,,17808,53.46,,
St. Louis County,3602,31.39,,3617,32.69,,3665,32.78,,3601,32.08,,3477,33.67,,3112,31.19,,3356,33.42,,3117,33.12,,3043,31.46,,30590,32.41,,
Ste. Genevieve,65,34.03,,59,31.72,,77,35.65,,72,36.00,,69,37.91,,57,30.48,,51,29.31,,51,28.02,,52,29.05,,553,32.59,,
Stoddard,179,58.12,,180,54.38,,201,57.76,,174,52.57,,201,56.94,,208,63.61,,187,55.99,,188,59.12,,181,55.86,,1699,57.13,,
Stone,152,61.54,,126,48.84,,165,62.50,,151,59.92,,147,54.65,,157,57.09,,144,53.93,,161,61.45,,143,54.79,,1346,57.15,,
Sullivan,33,38.82,,22,28.95,,35,35.71,,34,39.53,,30,40.00,,30,54.55,,35,47.30,,38,50.67,,45,63.38,,302,43.45,,
