Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Prenatal Care:  Began First Trimester;,
Year:,2016,2016,,2017,2017,,2018,2018,2019,2019,,2020,2020,,2021,2021,,2022,2022,2023,2023,,2024,2024,,Total for selection,Total for selection,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,Count,Rate,,Count,Rate,,Count,Rate,,
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoddard,217,71.62,,252,76.60,,252,73.04,252,75.45,,260,74.07,,262,80.62,,251,76.29,247,78.91,,272,84.74,,2265,76.78,,
Stone,147,64.76,,158,63.45,,174,66.41,173,68.65,,184,68.15,,192,70.33,,182,67.91,174,66.67,,182,70.00,,1566,67.44,,
Sullivan,73,85.88,,57,75.00,,69,71.88,68,80.00,,56,76.71,,43,79.63,,57,77.03,57,77.03,,57,80.28,,537,78.05,,
Taney,382,60.63,,406,68.24,,439,67.64,434,70.00,,367,62.20,,408,73.12,,413,69.76,378,63.42,,403,67.05,,3630,66.84,,
Texas,211,74.04,,202,74.54,,184,73.31,181,70.43,,164,65.60,,176,62.63,,150,58.82,166,59.93,,165,58.72,,1599,66.40,,
Vernon,171,75.33,,169,73.48,,179,71.31,157,66.53,,195,78.00,,175,71.14,,166,76.85,174,72.50,,172,69.08,,1558,72.63,,
Warren,287,71.57,,297,75.96,,312,76.85,294,72.77,,258,72.07,,316,77.45,,302,69.27,300,74.07,,323,70.07,,2689,73.27,,
Washington,168,62.92,,169,63.77,,161,60.53,171,63.81,,155,61.51,,183,69.06,,183,70.93,140,62.78,,130,64.68,,1460,64.46,,
Wayne,73,52.14,,95,64.63,,78,68.42,97,68.79,,66,59.46,,70,68.63,,93,72.66,78,71.56,,92,70.77,,742,66.13,,
Webster,278,53.15,,296,56.17,,313,52.52,365,61.45,,328,61.65,,343,57.84,,343,56.88,338,56.90,,384,60.19,,2988,57.46,,
Worth,18,75.00,*,18,85.71,*,23,85.19,15,71.43,*,18,72.00,*,15,93.75,*,20,83.33,19,90.48,*,15,75.00,*,161,80.90,,
Wright,140,56.22,,154,62.35,,122,54.71,143,57.89,,135,62.21,,154,63.37,,157,61.57,165,63.22,,159,59.55,,1329,60.16,,
Total for selection,51749,73.60,,49539,72.46,,49406,71.40,49473,71.23,,47538,71.27,,48931,73.06,,47700,70.90,46109,69.94,,46412,69.61,,436857,71.51,,
Missouri,51749,73.60,,49539,72.46,,49406,71.40,49473,71.23,,47538,71.27,,48931,73.06,,47700,70.90,46109,69.94,,46412,69.61,,436857,71.51,,
Rate:,Rate per 100 Numerator: Prenatal Care:  Began First Trimester   Denominator: Live Births with Known Prenatal Care Status,
Source:,DHSS - MOPHIMS - Birth MICA,
Generated On:,7/10/2026 8:54:04 PM,
*,Rate is unreliable; numerator less than 20,
