county,year,live_births,preterm_rate,lbw_rate,smoking_rate,early_prenatal_rate,medicaid_rate,low_education_rate
Douglas,2021,150,7.38,5.37,12.93,69.01,51.35,15.65
Douglas,2022,143,10.56,6.99,18.88,62.41,45.39,19.01
Douglas,2023,146,8.22,6.16,12.33,63.38,55.48,13.7
Douglas,2024,137,10.29,4.38,10.95,67.41,48.53,10.95
Dunklin,2016,424,15.6,15.09,30.86,66.43,76.54,28.37
Dunklin,2017,373,13.4,13.67,25.82,67.96,74.46,24.46
Dunklin,2018,389,14.43,12.34,22.62,60.57,72.94,25.26
Dunklin,2019,359,13.41,10.31,23.96,69.27,67.41,22.07
Dunklin,2020,377,15.92,14.85,21.07,65.22,66.58,22.67
Dunklin,2021,366,16.94,14.75,22.41,75.0,73.26,24.04
Dunklin,2022,329,13.76,10.03,17.96,72.59,75.23,22.09
Dunklin,2023,351,12.29,9.12,12.03,72.3,75.64,22.86
Dunklin,2024,312,12.18,8.97,10.0,73.53,66.88,19.74
Franklin,2016,1249,10.1,9.29,19.98,82.1,30.47,11.53
Franklin,2017,1256,10.06,7.57,18.75,81.68,31.34,11.66
Franklin,2018,1176,10.74,8.26,18.77,80.47,31.58,9.86
Franklin,2019,1222,10.81,8.35,17.38,78.43,33.28,11.64
Franklin,2020,1100,11.03,8.28,15.52,76.36,34.5,11.94
Franklin,2021,1118,10.67,6.98,13.27,80.31,30.8,8.87
Franklin,2022,1119,10.73,8.4,10.04,76.85,30.49,9.12
Franklin,2023,1125,10.7,9.52,9.68,76.54,34.59,9.07
Franklin,2024,1173,13.4,8.35,6.94,78.32,29.9,8.89
Gasconade,2016,158,10.76,10.13,21.66,79.35,28.48,12.03
Gasconade,2017,156,13.55,8.97,19.35,83.12,31.82,12.82
Gasconade,2018,153,11.11,8.5,19.61,76.97,30.92,10.46
Gasconade,2019,157,8.92,8.92,19.23,86.36,32.05,10.26
Gasconade,2020,137,7.3,3.65,11.03,81.62,33.33,10.95
Gasconade,2021,155,9.15,9.03,16.23,81.58,42.67,13.55
Gasconade,2022,138,13.77,9.42,12.5,79.56,31.88,10.87
Gasconade,2023,170,11.76,7.06,14.79,78.11,40.48,12.35
Gasconade,2024,131,10.69,9.92,9.23,78.13,36.64,14.5
Gentry,2016,87,,,,73.49,34.48,
Gentry,2017,86,,,,74.36,27.91,
Gentry,2018,87,,,,72.15,37.93,
Gentry,2019,96,,,,67.02,32.29,
Gentry,2020,69,,,,79.71,36.23,
Gentry,2021,75,,,,79.73,30.67,
Gentry,2022,81,,,,84.62,35.8,
Gentry,2023,82,,,,79.01,35.37,
Gentry,2024,65,,,,62.5,33.85,
Greene,2016,3577,9.72,8.53,16.36,68.66,42.37,11.3
Greene,2017,3340,10.18,6.89,16.84,71.09,38.87,11.97
Greene,2018,3309,9.8,7.1,16.62,68.89,45.35,11.98
Greene,2019,3418,10.52,9.13,15.5,68.64,45.18,11.68
Greene,2020,3243,9.54,8.02,14.58,72.92,46.84,10.85
Greene,2021,3267,10.72,7.53,11.79,73.54,46.1,10.36
Greene,2022,3275,11.42,9.01,9.3,70.63,41.63,11.05
Greene,2023,3156,10.4,8.71,7.17,70.74,46.64,10.21
Greene,2024,3389,9.74,8.65,6.67,69.51,50.25,10.25
Grundy,2016,153,8.5,7.24,22.52,75.66,47.65,28.76
Grundy,2017,157,10.97,6.37,24.18,61.38,39.61,38.71
Grundy,2018,151,10.6,11.26,18.79,58.5,39.19,28.48
Grundy,2019,123,14.05,8.94,19.83,63.72,43.8,39.02
Grundy,2020,106,6.67,4.72,17.14,65.71,37.5,29.25
Grundy,2021,142,10.07,9.15,12.32,63.24,32.14,35.21
Grundy,2022,142,5.71,6.34,15.22,56.93,39.01,31.69
Grundy,2023,130,9.3,6.15,6.4,55.74,34.88,36.92
Grundy,2024,133,10.53,5.26,6.92,61.36,32.33,31.82
Harrison,2016,111,,,29.09,68.81,52.25,24.55
Harrison,2017,90,,,24.44,65.88,53.93,30.0
Harrison,2018,97,,,26.8,65.59,42.55,31.96
Harrison,2019,92,,,16.48,68.18,34.44,25.0
Harrison,2020,96,,,26.32,63.83,38.95,31.58
Harrison,2021,84,,,20.73,58.02,38.1,25.0
Harrison,2022,82,,,13.41,62.96,27.16,35.37
Harrison,2023,120,,,15.83,64.71,42.37,28.33
Harrison,2024,94,,,14.89,52.69,38.3,31.91
Henry,2016,259,10.85,12.4,25.68,69.32,47.77,15.5
Henry,2017,235,7.23,6.41,28.94,76.19,46.32,15.74
Henry,2018,243,12.35,8.23,23.14,72.15,52.99,11.98
Henry,2019,318,9.75,7.28,22.78,67.62,47.4,19.18
Henry,2020,255,11.37,6.67,26.27,77.38,50.43,16.86
Henry,2021,264,12.88,7.22,22.61,77.52,46.28,17.49
Henry,2022,238,11.76,10.5,16.03,71.79,40.8,13.45
Henry,2023,210,12.38,9.05,10.24,74.4,50.0,13.88
Henry,2024,220,11.52,8.64,15.45,73.97,47.17,16.89
Hickory,2016,81,20.25,,27.5,81.08,53.75,23.46
Hickory,2017,80,11.25,,18.99,69.74,55.0,13.75
Hickory,2018,72,6.94,,19.44,63.89,47.89,23.61
Hickory,2019,73,10.96,,16.44,56.52,52.11,23.29
Hickory,2020,87,8.05,,19.54,61.18,51.16,36.78
Hickory,2021,86,9.3,,24.42,65.48,54.65,22.09
Hickory,2022,75,13.51,,14.67,61.64,58.11,23.29
Hickory,2023,94,9.57,,6.45,65.59,46.81,26.6
Hickory,2024,73,9.59,,8.33,54.93,52.05,21.92
Holt,2016,56,,,,91.07,33.93,
Holt,2017,38,,,,73.68,39.47,
Holt,2018,51,,,,83.67,31.37,
Holt,2019,46,,,,75.56,43.48,
Holt,2020,35,,,,80.0,40.0,
Holt,2021,51,,,,86.0,29.41,
Holt,2022,41,,,,89.47,43.9,
Holt,2023,39,,,,76.32,28.21,
Holt,2024,36,,,,77.14,25.0,
Howard,2016,116,7.76,6.9,21.55,80.87,33.62,
Howard,2017,117,12.82,6.9,26.96,74.36,29.91,
Howard,2018,108,4.63,9.26,26.17,84.76,36.11,
Howard,2019,114,13.16,6.14,19.47,85.84,35.96,
Howard,2020,107,11.21,7.48,17.76,86.67,45.79,
Howard,2021,84,8.33,7.14,18.07,83.33,48.81,
Howard,2022,108,15.74,8.33,13.21,78.7,39.81,
Howard,2023,92,15.22,8.7,9.78,82.42,32.61,
Howard,2024,110,11.82,10.91,10.0,84.4,32.73,
Howell,2016,485,5.77,6.39,26.39,71.49,64.33,17.73
Howell,2017,521,7.68,7.49,22.97,72.69,57.25,14.59
Howell,2018,523,7.84,6.88,25.62,71.93,60.8,15.87
Howell,2019,465,9.89,9.68,21.51,67.18,59.05,17.49
Howell,2020,475,12.24,9.47,20.3,73.99,63.16,16.03
Howell,2021,447,10.07,8.5,17.49,76.77,66.67,13.23
Howell,2022,445,7.21,6.29,13.06,71.95,63.43,12.58
Howell,2023,452,10.4,8.19,12.22,68.14,62.39,15.04
Howell,2024,482,8.71,9.54,11.09,70.92,65.35,14.97
Iron,2016,103,13.59,8.82,24.75,67.71,68.32,16.5
Iron,2017,103,10.68,12.62,31.07,66.32,66.99,11.65
Iron,2018,101,11.0,12.0,28.0,64.52,67.37,16.16
